"Feature","Importance","Importance_Pct"
"alcohol",50.1905613700651,23.5213419446292
"volatile.acidity",34.1454774358165,16.0019618969529
"sulphates",30.5403254821319,14.3124408087202
"density",27.7157007953879,12.9887065983718
"chlorides",21.1424256569411,9.90820205713847
"total.sulfur.dioxide",18.7048896190438,8.7658733585809
"free.sulfur.dioxide",13.1334007427551,6.15484667502512
"fixed.acidity",10.5162911175398,4.9283624771818
"residual.sugar",3.33368615600675,1.56230115525822
"citric.acid",2.13775885114421,1.00184089518693
"pH",1.82255202243556,0.854122132954471
